jobname,company,location,time,image
artificial intelligence engineer,บริษัท อี๊ตแล็บ จำกัด,เขตคลองสาน,2 ชั่วโมงที่แล้ว,https://www.jobbkk.com/upload/employer/01/661/02D661/images/185953.png
ai data scientist,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",เขตสาทร,2 ชั่วโมงที่แล้ว,https://www.jobbkk.com/upload/employer/07/757/006757/images/26455.png
it assistant (bts ratchayothin),บริษัท โปรเฟสชันแนลวัน จำกัด,ทุกเขต,2 ชั่วโมงที่แล้ว,https://www.jobbkk.com/upload/employer/03/C63/005C63/images/23651.jpg
เจ้าหน้าที่วิเคราะห์ข้อมูล(คลังข้อมูล),บริษัท บางกอก เมดิคอล ซอฟต์แวร์ จำกัด,เขตราษฎร์บูรณะ,12 ชั่วโมงที่แล้ว,https://www.jobbkk.com/upload/employer/01/9E1/00A9E1/images/43489.jpg
pc ทรูมูฟ cp fresh mart ,นิวสตาร์ มาเก็ตติ้ง จำกัด,ปากเกร็ด,1 วันที่แล้ว,https://www.jobbkk.com/upload/employer/07/567/02B567/images/177511.png
machine learning engineer ,บริษัท จัดหางาน เพอร์ซันแนล คอนซัลแตนท์ (ประเทศไทย) จำกัด,เขตวัฒนา,1 วันที่แล้ว,https://www.jobbkk.com/upload/employer/09/F59/002F59/images/12121.gif
senior data scientist,บริษัท โสมาภา อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน),เขตคลองสามวา,2 วันที่แล้ว,https://www.jobbkk.com/upload/employer/0B/0BB/0050BB/images/20667.jpg
